createdAt,userName,userLocation,text
2021-03-11 09:36:26,T.H.U.G LIFE,"Kampala, Uganda",RT : Where will NBS get sponsors when it's eing NRM.. ateh olowoza Achen got that 3rd hand vaccine they're injecting u…
2021-03-11 09:36:26,Karen Kelly,"Stoke-on-Trent, England",RT : I am booked in to have the second dose of the COVID vaccine next week. The evidence shows it protects us against sympt…
2021-03-11 09:36:25,FactsChecks,"New York, USA",RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
2021-03-11 09:36:25,Ajay Shrivastva🇮🇳,"Gopalganj, India",RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
2021-03-11 09:36:25,Aakash shah,india,"RT : Pakistan🇵🇰, the only SAARC country to not seek COVID-19 Vaccine from India, is getting 45 million 🇮🇳 made vaccine Covi…"
2021-03-11 09:36:25,Kirstin Ferguson,"Sunshine Coast, Queensland",What is your gut feel on when you reckon you will receive your 2nd (and final) jab of the COVID vaccine?
2021-03-11 09:36:25,ismaithanfear,, Here’s a bit of perspective Alan. Why are the  relying solely on GP’s records instead of having a… 
2021-03-11 09:36:25,,,Its probably pretty safe though. I just looked up flu vaccines. And flu vaccine deaths. But why take something you dont need.
2021-03-11 09:36:24,That One Red Sniffit from Super Mario Bros. 2,,  No they don't. They look at the research and either accept or reject the conclusion of s… 
2021-03-11 09:36:24,News SummedUp NZ,New Zealand,"Covid 19 coronavirus: Trump issues bizarre vaccine statement
 "
2021-03-11 09:36:24,Emma Picken.,catford ,RT : My very bright very has just had her head turned by an anti vaccine chemist. Who should I encourage her to complain to?
2021-03-11 09:36:24,Sumudu Dhanapala - Lord of Kerry 🇮🇪,Burkina Faso,RT : The COVID-19 Pandemic will not be over for us until it is over for everyone.  Please sign this call for global vaccine equ…
2021-03-11 09:36:24,Jordan ,London,"RT : I will boycott any business; pub, restaurant, or events company, that insists on a vaccine passport or ‘showing papers’ as…"
2021-03-11 09:36:24,Paurush Gupta,India,RT : The global Left is disreputable. Eect nothing but malignant reportage on India from it. India’s international vaccine…
2021-03-11 09:36:23,Er. MICHAEL ALOK,HINDUSTAN / INDIA,AND I THINK VACCINATION SHOULD BE EXTENSIVE. START VACCINATING EVERYONE IN EVERY CLINIC &amp; HOSPITAL. - 
2021-03-11 09:36:23,Amanda Meyer,"Chicago, IL",RT : A New York-based start-up is matching vaccine providers who have extra shots to people who are willing to get one at a moment’…
2021-03-11 09:36:23,Rorschach,In Your Head,RT : Freudian slip?  I'm not sure. Dr Hilary this morning referring to the vaccine rollout  said the 'trials' are going real…
2021-03-11 09:36:23,kitten,,RT : This the only way Dr. Jane Ruth Acheng can take the vaccine for us to believe her. 
2021-03-11 09:36:23,Abhishek,,"RT : Pakistan🇵🇰, the only SAARC country to not seek COVID-19 Vaccine from India, is getting 45 million 🇮🇳 made vaccine Covi…"
2021-03-11 09:36:23,Witchy Woman 🧙🧙 🇬🇧,,"RT : Those who have had the 'vaccine'.

How has your life changed? It hasn't has it?

Other than the side effects of course"
2021-03-11 09:36:23,jeff,,  Even if I decide to have the vaccine I refuse to have any part in the use of ID papers.
2021-03-11 09:36:23,Barod,"Wales, United Kingdom","""People eeriencing  to be prioritised for  ""

Great news from . Well d… "
2021-03-11 09:36:22,,BHARAT,RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
2021-03-11 09:36:22,kevin mcloughlin,,"RT : I will boycott any business; pub, restaurant, or events company, that insists on a vaccine passport or ‘showing papers’ as…"
2021-03-11 09:36:22,Eric Blair.,,"RT : COVID DEBUNKED

Dr Michael Yeadon tells how the 'Coronavirus vaccine' is unnecessary to the 99%, and any talk of ""Coronav…"
2021-03-11 09:36:21,LORENZO ALFARO OCAMPO,"Huatulco, Oaxaca",RT : Johnson &amp; Johnson’s Janssen  Vaccine is the third vaccine authorized for use in the United States. This 1-dose vaccine…
2021-03-11 09:36:21,Reinvest,,RT : DANISH HEALTH AUTHORITY SAYS USE OF ASTRAZENECA COVID VACCINE HALTED DUE TO SERIOUS CASES OF BLOOD CLOTS
2021-03-11 09:36:21,WoodHoodOil,,RT : ️ Danish health authority says use of AstraZeneca covid vaccine halted due to serious cases of blood clots
2021-03-11 09:36:21,One Love,earth,"RT : ""Then they sent the vaccine. The virus had disrupted our lives for a year. We were so relieved. In that moment we forgot that…"
2021-03-11 09:36:21,Daily News,,PM Narendra Modi`s mother Heeraben takes first dose of COVID vaccine 
2021-03-11 09:36:21,राजीव रंजन,"Rishikesh, India",RT : My mother has taken the first dose of the COVID-19 vaccine. I'll will coordinate with BJP Karyakartas under my Lok Sabha c…
2021-03-11 09:36:21,NaijaChoice.com.ng Offical,"Victoria Island, Nigeria","‘No Pain, No Headache’ – El-Rufai Speaks After Taking COVID Vaccine (Photos)  "
2021-03-11 09:36:21,Ranjeet Brar,"London, England","RT : Bravo   
""It would be fatal not to use the vaccine just because it comes from Russia instead of Western…"
2021-03-11 09:36:20,I HATE ,Kawempe Republic ,"RT : Here’s a phone video of  receiving the vaccine.

"
2021-03-11 09:36:20,indy100,London,South Park savagely mocks ‘stupid’ QAnon supporters in new episode 
2021-03-11 09:36:20,Isshin Kempo,Hunterdon County NJ,"RT : China is urging the WHO to let it run the global vaccine passport system.

This is just another reason why I'm glad I pr…"
2021-03-11 09:36:20,Mia,,"RT : I will boycott any business; pub, restaurant, or events company, that insists on a vaccine passport or ‘showing papers’ as…"
2021-03-11 09:36:20,Even Stevens🤷‍️,," We are going to need to do 100,000 a week to get everyone who wants a vaccine and that is eligible to b… "
