createdAt,userName,userLocation,text
Thu Mar 11 09:39:33 +0000 2021,Chinmai Rao Ulpe,Goa,"RT : No opposition leader took Covid vaccination until PM Modi  took. After him... Everyone is taking it.

Looks like they have…"
Thu Mar 11 09:39:33 +0000 2021,disillusioned social warrior🆘️,"Huntersville, NC","RT : 0 Republicans voted for the $1.9 trillion Covid relief bill.

278 Republicans voted for Trump’s $1.9 trillion tax cut for corp…"
Thu Mar 11 09:39:33 +0000 2021,Joseph Reynolds,"Hamilton, Scotland","RT : No ert ban, says Mr Johnson. But no erts either. Some good old Belgian surrealism here. 

Meanwhile, millions of…"
Thu Mar 11 09:39:33 +0000 2021,🅰️𝚢𝚞𝚔𝚊,,"RT : 【明日の 】

▼妻夫木聡志尊淳

▼PKCZ® 白濱亜嵐

▼レディー・ガガ

▼Snow Man️

▼賀来賢人 松井愛莉

▼菅田将暉

(内容に変更の可能性があります)

  …"
Thu Mar 11 09:39:33 +0000 2021,黎明來到,,RT : Both the Trump and Biden Administrations recognized the possibility the COVID-19 pandemic originated from the Wuhan Ins…
Thu Mar 11 09:39:33 +0000 2021,mandsweet,Glasgow,"RT : I will boycott any business; pub, restaurant, or events company, that insists on a vaccine passport or ‘showing papers’ as…"
Thu Mar 11 09:39:33 +0000 2021,Pretty_p,"Powai, Mumbai",RT : Billboards come up in Greater Toronto area thanking PM Narendra Modi for providing COVID-19 vaccines to Canada 
Thu Mar 11 09:39:33 +0000 2021,Fedcodtten,"Dental Ave, Trans-Ekulu, Enugu","He said the last process of SUG election was truncated by the lockdown caused by COVID 19 pandemic. 
The Rector adv… "
Thu Mar 11 09:39:33 +0000 2021,Stuart,,"RT : Listen to this , even the ones who think we are nuts , to what they are doing  You are giving up another year of your l…"
Thu Mar 11 09:39:33 +0000 2021,Imnotleft13,Australia ,"RT : I will boycott any business; pub, restaurant, or events company, that insists on a vaccine passport or ‘showing papers’ as…"
Thu Mar 11 09:39:33 +0000 2021,Seng Nan Aung,Japan,"RT : There is an emergency situation in Myaing Township, Magway Division !!Junta
terrorists continue their killing machine and…"
Thu Mar 11 09:39:33 +0000 2021,Lulu,Wicklow,RT : RT if you've never had a Covid test 
Thu Mar 11 09:39:33 +0000 2021,Shiny Spinda,,"RT : Thank you all so much for volunteering!
We are set through Mon as far as people power goes. After this epic snow we wil…"
Thu Mar 11 09:39:33 +0000 2021,malcolm house,Earth ,
Thu Mar 11 09:39:33 +0000 2021,Dallas,Cambridgeshire UK,"RT : Daughter had had her third ""meeting"" about vaccine. Top of her grade in nursing after 25 years.  Told she might not not b…"
Thu Mar 11 09:39:33 +0000 2021,valentina,,"RT : ""Non c'è nessun aumento della gravità della malattia da Sars-CoV-2 legata alle varianti che si stanno diffondendo nel Lazio. L…"
Thu Mar 11 09:39:33 +0000 2021,ちゃーき,いつも心にたこ焼きを,RT : 『有田プレビュールーム』3/15(月) Snow Manも緊急参戦芸人おもしろ対決動画GP!!【TBS】 
Thu Mar 11 09:39:33 +0000 2021,idrispamuk44.com,, COVID BUŞONU GÖREVDE! İstanbul'un içine s...mak için görevlendirilen basit bir piyon olur kendileri!
Thu Mar 11 09:39:33 +0000 2021,Donnyd,,"RT : VACINA SIM!
Esse gráfico mostra a situação de Israel: o país registra queda semanal de 30% no número de casos de Covid-1…"
Thu Mar 11 09:39:33 +0000 2021,Nova Scotia Girl,Nova Scotia,"RT : Are you in favour of a Vaccine Passport?

Please vote and Retweet. "
Thu Mar 11 09:39:33 +0000 2021,PattuCheenu,,"RT : Start Your Day With A Positive Attitude And A Positive Intention  

 Lovely Friends Have A Great …"
Thu Mar 11 09:39:33 +0000 2021,TruthandFact,,"RT : If Vaccine roll out is allowed to continue on this trajectory, what do you think will happen in a few months time when…"
Thu Mar 11 09:39:33 +0000 2021,Filippo R.,Santarcangelo di Romagna,RT : I dati della mortalità da Covid-19 di gennaio 2021 sono falsi. Solo propaganda del governo per fare un secondo lockdown prevac…
Thu Mar 11 09:39:33 +0000 2021,Estar como un queso 🧀,,"RT : UK variant 64 percent deadlier than previous Covid-19 strains, study says  "
Thu Mar 11 09:39:33 +0000 2021,Fran,,"RT : This afternoon, I’m hosting an event with the CEOs of Johnson &amp; Johnson and Merck to discuss our historic partnership to produce…"
Thu Mar 11 09:39:33 +0000 2021,Nick,,RT : Pfizer is free to apply for approval and manufacture in India. But by following rules laid down and not by seeking exception…
Thu Mar 11 09:39:33 +0000 2021,Robin Nowacki,London UK,RT : COVID-19 News from my London Club. Here even the portraits of famous past members of this  old establishment are now soci…
Thu Mar 11 09:39:33 +0000 2021,PEG,Europe,RT : “Vaccine nationalism is a moral catastrophe.  History will judge us harshly should we not marshal every resource at our…
Thu Mar 11 09:39:33 +0000 2021,ZincWangQ7,,"RT : 

 
  


 

 
…"
Thu Mar 11 09:39:34 +0000 2021,TheBSDetector,,RT : Ditto!
Thu Mar 11 09:39:34 +0000 2021,Angus Jones,"England, United Kingdom",RT : BREAKING: The Government has demanded that the EU make a full retraction of their false vaccine accusations against Bri…
Thu Mar 11 09:39:34 +0000 2021,JORGE LUIS,"Porto Alegre, Brasil"," Sugeri que fossem no presídio central para ver porque lá ninguém morre de Covid, apesar da lotação........"
Thu Mar 11 09:39:34 +0000 2021,tehantu ,Malaysia,RT : Emergency chicken nugget
Thu Mar 11 09:39:34 +0000 2021,Prof Philip Hallam,,"RT : Covid is a huge problem, but we are burning down the entire house to get rid of the fire.

▪️100,000 cancer operation de…"
Thu Mar 11 09:39:34 +0000 2021,Chris Ely 🧢️️ | ,,"RT : Today, President Biden announced our Administration will purchase 100 million additional doses of the Johnson &amp; Johnson vac…"
Thu Mar 11 09:39:34 +0000 2021,Salish Sea,Shores of the Coast Salish Sea,"RT :  Recovery bill passed, Merrick Garland, stock market surge, huge vaccine distribution, covid numbers going down, no…"
Thu Mar 11 09:39:34 +0000 2021,lilireinhart,Canberra,"RT : This is  911, what is your emergency? ️‍️️️ "
Thu Mar 11 09:39:34 +0000 2021,I Am Black Widow,🇰🇪🇰🇪🇰🇪,"RT : 1.Campaign posters na tshirts hufika hadi village level within a day but vaccine itabidi hadi 2023? 
2. Exam papers hufika…"
Thu Mar 11 09:39:34 +0000 2021,Pierre Cambier,Laekenomontois," Bah dans la vidéo, il est question de cette obligation ou du chantage qui pourrait être fait - et c'e… "
Thu Mar 11 09:39:34 +0000 2021,Злая Рыба,"Москва, Россия","RT : Видать, как не пытаются они создать что-то годное свое, не выходит у них каменный цветок)))) "
Thu Mar 11 09:39:34 +0000 2021,MalaysiaNow,"Kuala Lumpur, Malaysia ","Kes sembuh catat 2,104, terus mendahului kes baru Covid-19.

Nantikan perkembangan terkini Covid-19 harian Malaysia… "
Thu Mar 11 09:39:35 +0000 2021,Redacción Médica,España," |  Vinculan aumento de contagios de  a la concentración de polen 

️ Este factor ambiental… "
Thu Mar 11 09:39:34 +0000 2021,NW&NEAAF,NW & NE England," is trending ..
he has filled the government &amp;  Lords  with pro fox hunting folk ... he has created… "
Thu Mar 11 09:39:35 +0000 2021,संभा,"Maharashtra, India",RT : 
Thu Mar 11 09:39:35 +0000 2021,Dj Espy ,, 
Thu Mar 11 09:39:35 +0000 2021,Adam sheppard,"Dover, Kent","""Eerts elain how COVID-19 vaccines are being developed and tested so quickly""  "
Thu Mar 11 09:39:35 +0000 2021,Michael Croft ,London  ,RT : Here we go. Twitter now censoring anything reporting a story about someone dying after the 'vaccine' 
Thu Mar 11 09:39:35 +0000 2021,Jorge Martínez,,"RT : ""En mi caso, la carga viral todavía es contagiante (...) Es importante que yo verifique que yo no soy contagiante, pero en…"
